"18510474","TOTAL","T","DE139",2014,868
"18510475","TOTAL","T","DE13A",2014,410
"18510476","TOTAL","T","DE14",2014,4910
"18510477","TOTAL","T","DE141",2014,657
"18510478","TOTAL","T","DE142",2014,955
"18510479","TOTAL","T","DE143",2014,-274
"18510480","TOTAL","T","DE144",2014,419
"18510481","TOTAL","T","DE145",2014,372
"18510482","TOTAL","T","DE146",2014,55
"18510483","TOTAL","T","DE147",2014,1321
"18510484","TOTAL","T","DE148",2014,1550
"18510485","TOTAL","T","DE149",2014,-167
"18510486","TOTAL","T","DE21",2014,43497
"18510487","TOTAL","T","DE211",2014,1545
"18510488","TOTAL","T","DE212",2014,18285
"18510489","TOTAL","T","DE213",2014,230
"18510490","TOTAL","T","DE214",2014,415
"18510491","TOTAL","T","DE215",2014,861
"18510492","TOTAL","T","DE216",2014,816
"18510493","TOTAL","T","DE217",2014,1694
"18510494","TOTAL","T","DE218",2014,1639
"18510495","TOTAL","T","DE219",2014,533
"18510496","TOTAL","T","DE21A",2014,1123
"18510497","TOTAL","T","DE21B",2014,1399
"18510498","TOTAL","T","DE21C",2014,1943
"18510499","TOTAL","T","DE21D",2014,596
"18510500","TOTAL","T","DE21E",2014,567
"18510501","TOTAL","T","DE21F",2014,716
"18510502","TOTAL","T","DE21G",2014,712
"18510503","TOTAL","T","DE21H",2014,4400
"18510504","TOTAL","T","DE21I",2014,599
"18510505","TOTAL","T","DE21J",2014,994
"18510506","TOTAL","T","DE21K",2014,1704
"18510507","TOTAL","T","DE21L",2014,1378
"18510508","TOTAL","T","DE21M",2014,837
"18510509","TOTAL","T","DE21N",2014,468
"18510510","TOTAL","T","DE22",2014,6380
"18510511","TOTAL","T","DE221",2014,1090
"18510512","TOTAL","T","DE222",2014,338
"18510513","TOTAL","T","DE223",2014,574
"18510514","TOTAL","T","DE224",2014,370
"18510515","TOTAL","T","DE225",2014,43
"18510516","TOTAL","T","DE226",2014,693
"18510517","TOTAL","T","DE227",2014,825
